subnum,group,sex,actuhap,ideahap,depress,rigoract,cultatt,temperatt
1058,1,0,0.778127064,0.892861832,8,0,3.166666667,0.833333333
1059,1,0,0.721864299,0.351943994, , ,4,0.666666667
1061,1,1,0.124711649,0.538251136,12,0,3.666666667,0.5
1062,1,0,0.873093193,0.967001011,10,2,4.5,1.5
1063,1,0,0.475222507,0.697018484,6,2,2,1.666666667
1064,1,1,0.230306358,1.136803508,4,2,6.333333333,1.5
1065,1,0,0.566198512,0.629514265,12,1,4.166666667,1.666666667
1066,1,0,0.128388148,0.782861475,18,0,4.333333333,0.333333333
1068,1,1,1.002831674,0.772048647,6,2,2.5,1.166666667
1069,1,0,0.418816955,0.719448145,10,0,5,0.833333333
1072,1,1,0.797759989,0.550809453,10,0,4.5,0.5
1073,1,1,-0.422075254,0.338240713,22,0,3.5,0.333333333
1075,1,0,-0.948683298,0.276180934,13,0,4.833333333,-0.666666667
1076,1,0,0.145312579,0.946753116, , ,4,0.333333333
1078,1,1,0.66391082,1.011210264,5,6,5.333333333,1.333333333
1081,1,0,0.24774748,0.651493239,15,0,6,0.166666667
1082,1,1,0.256869692,0.586787548,9,3,3.833333333,0.833333333
1083,1,1,0.917778873,0.94887047,18,0,6.166666667,1.5
1086,1,0,0.35109199,1.00625861,17,0,5.5,0.833333333
1107,1,0,-0.019457561,0.542095599, , ,6.166666667,0.166666667
1108,1,1,-0.390360029,0.836549724,8,7,3.5,0.833333333
1109,1,0,1.166666667,0.137696619,30,0,5,0.833333333
1110,1,1,-0.23492229,0.400599987,5,0,3.666666667,1
1112,1,1,-0.093933644,0.440958552,15,0,4.166666667,0.166666667
1120,1,1,0.141993613,0.658933512,16,0,2.833333333,0.333333333
1121,1,1,0.361456767,1.217085291,9,2,4.166666667,0.666666667
1122,1,1,-0.9141741,0.634335047,17,3,5.166666667,0.166666667
1123,1,1,0.457850772,1.032049442,12,0,4,0.5
1125,1,1,0.9258201,0.434387318, , ,4.333333333,1
2000,2,1,0.659194233,0.962250449,8,0,2.833333333,0
2001,2,0,-0.328232306,0.375239387,10,0,4,-1.333333333
2003,2,0,0.869318288,0.801361519,8,1,3.833333333,1.166666667
2004,2,0,0.400891863,0.832011337,10, ,2.666666667,0.833333333
2005,2,0,0.287349995,0.512242693,7,1,4.333333333,0.666666667
2006,2,1,0.291564848,0.862290909,8,3,5,0.333333333
2007,2,1,-0.711903338,0.647552084,37,0,4.333333333,-0.333333333
2008,2,0,-0.881844527,0.136948411,22,0,2.666666667,-1.333333333
2009,2,0,0.58895277,1.105592151,19,0,4.166666667,0.666666667
2010,2,0,0.738548946,0.725907953,3,2,6.166666667,1.5
2011,2,1,0.586009039,0.094648998,12,3,3.5,1.166666667
2012,2,1,-0.521286035,0.716057509,21,0,2,0.166666667
2015,2,1,1.211671044,1.081507149,12,0,5.166666667,1.333333333
2017,2,0,-0.797759989,0.383500796,20,0,5,0
2018,2,0,0.829502743,0.605628763, , ,4.166666667,-0.166666667
